Opened,Closed,Symbol,Exp,Type,Legs,Quantity,Status,P/L,Risk,ROR,Premium,Reward/Risk,Open Price,Open Bid Price,Open Ask Price,Close Price,Close Bid Price,Close Ask Price,Max Loss,Max Profit,Price at Open,Price at Close
"Mar 24, 2023 10:00am","Mar 24, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 3,940 / short put 3,950 / short call 3,950 / long call 3,960","1","expired","-95","95","-100","905","952.63","9.05","8.5","9.6","10","","","95","905","3930.95","3970.99"
"Mar 27, 2023 10:00am","Mar 27, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 3,960 / short put 3,970 / short call 3,970 / long call 3,980","1","expired","192","55","349.09","945","1718.18","9.45","8.8","10.1","7.53","","","55","945","3995.29","3977.53"
"Mar 30, 2023 10:00am","Mar 30, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,020 / short put 4,030 / short call 4,030 / long call 4,040","1","expired","-68","68","-100","932","1370.59","9.32","8.7","9.95","10","","","68","932","4055.57","4050.83"
"Mar 31, 2023 10:00am","Mar 31, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,040 / short put 4,050 / short call 4,050 / long call 4,060","1","expired","-60","60","-100","940","1566.67","9.4","8.5","10.3","10","","","60","940","4070.07","4109.31"
"Apr 4, 2023 10:00am","Apr 4, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,115 / short put 4,125 / short call 4,125 / long call 4,135","1","expired","-190","190","-100","810","426.32","8.1","7.4","8.8","10","","","190","810","4124.31","4100.6"
"Apr 5, 2023 10:00am","Apr 5, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,090 / short put 4,100 / short call 4,100 / long call 4,110","1","expired","-137","175","-78.29","825","471.43","8.25","7.3","9.2","9.62","","","175","825","4097.51","4090.38"
"Apr 6, 2023 10:00am","Apr 6, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,080 / short put 4,090 / short call 4,090 / long call 4,100","1","expired","-135","135","-100","865","640.74","8.65","8.1","9.2","10","","","135","865","4074.2","4105.02"
"Apr 10, 2023 10:00am","Apr 10, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,095 / short put 4,105 / short call 4,105 / long call 4,115","1","expired","499","90","554.44","910","1011.11","9.1","8.4","9.8","4.11","","","90","910","4074.28","4109.11"
"Apr 11, 2023 10:00am","Apr 11, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,100 / short put 4,110 / short call 4,110 / long call 4,120","1","expired","704","190","370.53","810","426.32","8.1","7.8","8.4","1.06","","","190","810","4108.13","4108.94"
"Apr 12, 2023 10:00am","Apr 12, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,100 / short put 4,110 / short call 4,110 / long call 4,120","1","expired","-125","125","-100","875","700","8.75","8.4","9.1","10","","","125","875","4120.47","4091.95"
"Apr 13, 2023 10:00am","Apr 13, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,080 / short put 4,090 / short call 4,090 / long call 4,100","1","expired","-128","128","-100","872","681.25","8.72","8.4","9.05","10","","","128","872","4102.82","4146.22"
"Apr 17, 2023 10:00am","Apr 17, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,130 / short put 4,140 / short call 4,140 / long call 4,150","1","expired","-190","190","-100","810","426.32","8.1","7.7","8.5","10","","","190","810","4138.74","4151.32"
"Apr 18, 2023 10:00am","Apr 18, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,140 / short put 4,150 / short call 4,150 / long call 4,160","1","expired","350","163","214.72","837","513.5","8.37","8.05","8.7","4.87","","","163","837","4158.65","4154.87"
"Apr 19, 2023 10:00am","Apr 19, 2023 4:00pm","SPX","Invalid date","ironbutterfly","long put 4,145 / short put 4,155 / short call 4,155 / long call 4,165","1","expired","832","120","693.33","880","733.33","8.8","8.3","9.3","0.48","","","120","880","4135.34","4154.52"
